guid,act,tas,wa,vic,qld,nsw,sa,nt
https://id.biodiversity.org.au/node/apni/2909018,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2889919,0,0,0,1,0,0,1,0
NZOR-6-57628,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/taxon/apni/51268690,0,0,0,0,1,0,0,0
https://id.biodiversity.org.au/node/apni/2909054,0,0,0,0,0,0,0,0
https://id.biodiversity.org.au/node/apni/2910523,0,0,0,0,0,0,0,0
https://id.biodiversity.org.au/node/apni/2900346,0,1,0,1,0,1,0,0
https://id.biodiversity.org.au/node/apni/9030685,0,0,1,0,1,1,0,0
https://id.biodiversity.org.au/node/apni/2917006,0,0,1,1,1,1,0,0
https://id.biodiversity.org.au/taxon/apni/51291262,1,0,1,1,1,1,1,1
https://id.biodiversity.org.au/node/apni/2908297,0,1,1,1,1,1,0,0
https://id.biodiversity.org.au/taxon/apni/51285782,0,1,1,1,1,1,1,0
https://id.biodiversity.org.au/node/apni/2903425,0,0,0,0,1,0,0,0
https://id.biodiversity.org.au/taxon/apni/51400632,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2892460,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/name/apni/51367516,0,0,0,0,1,0,0,0
https://id.biodiversity.org.au/node/apni/2906792,0,0,0,0,1,1,0,0
https://id.biodiversity.org.au/node/apni/2915621,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2916360,0,0,0,0,1,1,0,0
https://id.biodiversity.org.au/node/apni/2911356,0,0,0,0,1,0,0,0
https://id.biodiversity.org.au/node/apni/7862481,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2912049,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2886233,0,0,1,0,1,1,0,1
https://id.biodiversity.org.au/node/apni/2892100,0,0,0,0,0,1,1,0
https://id.biodiversity.org.au/node/apni/2891585,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/taxon/apni/51311040,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2887234,0,0,1,1,0,1,1,0
https://id.biodiversity.org.au/node/apni/2892175,1,0,0,1,1,1,1,0
https://id.biodiversity.org.au/node/apni/2889657,0,0,1,0,0,0,0,1
https://id.biodiversity.org.au/node/apni/2917363,1,1,1,1,0,1,1,0
https://id.biodiversity.org.au/node/apni/2891969,0,0,1,0,0,0,0,0
https://id.biodiversity.org.au/node/apni/4573490,0,0,0,0,1,0,0,0
https://id.biodiversity.org.au/node/apni/2909290,0,0,0,0,1,0,0,1
NZOR-6-68137,0,0,0,1,0,0,0,0
https://id.biodiversity.org.au/node/apni/2908781,0,0,1,0,0,0,0,0
https://id.biodiversity.org.au/name/apni/234929,0,0,0,0,0,0,1,0
https://id.biodiversity.org.au/node/apni/2908565,0,0,0,0,0,0,1,0
https://id.biodiversity.org.au/node/apni/2891229,0,0,0,1,0,0,0,0
https://id.biodiversity.org.au/node/apni/6880232,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/7432207,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2919385,0,0,1,1,0,0,1,0
https://id.biodiversity.org.au/node/apni/2894882,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2889483,0,0,0,0,1,0,0,0
https://id.biodiversity.org.au/node/apni/2906273,0,0,1,1,1,0,1,0
https://id.biodiversity.org.au/node/apni/7080900,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2898400,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2918698,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2890838,0,1,0,1,0,1,0,0
https://id.biodiversity.org.au/node/apni/2907374,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2906438,0,0,0,1,0,0,0,0
https://id.biodiversity.org.au/node/apni/2916947,0,0,1,0,0,0,1,0
https://id.biodiversity.org.au/node/apni/2917496,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2911562,1,1,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2889252,0,0,0,0,0,1,1,0
NZOR-6-12335,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2907449,0,0,0,0,0,0,0,0
https://id.biodiversity.org.au/node/apni/2916914,1,0,1,1,1,1,1,0
https://id.biodiversity.org.au/taxon/apni/51268455,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2891586,0,0,0,0,0,0,1,0
https://id.biodiversity.org.au/node/apni/2915849,0,1,1,1,1,1,1,0
https://id.biodiversity.org.au/node/apni/2892766,1,1,1,1,1,1,1,0
https://id.biodiversity.org.au/node/apni/2901374,0,0,0,1,1,0,0,0
https://id.biodiversity.org.au/node/apni/2894233,0,0,1,0,1,0,0,0
https://id.biodiversity.org.au/node/apni/2919382,0,0,0,0,0,1,1,0
https://id.biodiversity.org.au/node/apni/2908506,0,0,0,0,1,0,0,0
https://id.biodiversity.org.au/taxon/apni/51263226,0,0,0,0,0,0,1,0
https://id.biodiversity.org.au/name/apni/151583,0,0,0,0,1,1,0,0
https://id.biodiversity.org.au/node/apni/2919823,0,0,0,0,0,0,1,0
NZOR-6-2027,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/name/apni/119139,0,0,0,0,1,0,0,0
https://id.biodiversity.org.au/taxon/apni/51291363,0,1,1,1,0,1,1,0
https://id.biodiversity.org.au/node/apni/2896146,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/name/apni/51350886,0,0,0,0,1,0,0,0
https://id.biodiversity.org.au/node/apni/2902618,0,0,1,1,0,0,1,0
https://id.biodiversity.org.au/node/apni/2895140,0,0,1,1,0,0,0,0
NZOR-6-81595,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2886539,0,1,0,1,0,1,1,0
https://id.biodiversity.org.au/node/apni/2920819,0,0,1,0,0,0,0,0
https://id.biodiversity.org.au/node/apni/2909276,0,0,0,0,0,1,0,0
NZOR-6-1198,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/taxon/apni/51284169,0,0,0,0,1,0,0,0
https://id.biodiversity.org.au/node/apni/2892901,0,0,0,1,1,1,0,0
https://id.biodiversity.org.au/node/apni/2889406,0,0,0,0,0,1,0,0
NZOR-6-101732,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2896511,0,0,1,0,0,0,1,0
https://id.biodiversity.org.au/node/apni/2891863,0,0,0,0,1,0,0,0
https://id.biodiversity.org.au/node/apni/2911936,1,1,1,1,1,1,1,0
https://id.biodiversity.org.au/node/apni/2887287,0,1,0,1,0,1,0,0
https://id.biodiversity.org.au/node/apni/2910967,0,0,1,0,0,0,0,0
https://id.biodiversity.org.au/node/apni/2905853,0,0,1,1,1,1,1,0
https://id.biodiversity.org.au/node/apni/2918108,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2888714,0,0,0,1,0,0,0,0
https://id.biodiversity.org.au/node/apni/2905884,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2915404,0,0,0,0,1,1,0,0
https://id.biodiversity.org.au/node/apni/2901940,0,0,0,1,0,0,0,0
https://id.biodiversity.org.au/taxon/apni/51295129,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2901821,0,0,0,1,0,0,0,0
https://id.biodiversity.org.au/node/apni/2887796,0,0,0,1,0,0,1,0
https://id.biodiversity.org.au/node/apni/2901670,0,0,0,1,0,0,1,0
https://id.biodiversity.org.au/node/apni/2886441,1,1,1,1,1,1,1,0
https://id.biodiversity.org.au/node/apni/2905133,0,0,0,1,0,0,0,0
https://id.biodiversity.org.au/node/apni/2894168,0,0,0,0,0,0,0,0
https://id.biodiversity.org.au/node/apni/2886832,0,0,0,1,0,0,0,0
https://id.biodiversity.org.au/node/apni/2908951,0,0,0,0,0,0,0,0
https://id.biodiversity.org.au/node/apni/2918108,0,0,0,0,1,1,0,1
https://id.biodiversity.org.au/name/apni/195299,0,0,0,0,0,0,1,0
NZOR-6-89892,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2905485,0,0,0,1,0,0,0,0
https://id.biodiversity.org.au/node/apni/2907201,0,0,0,0,0,0,0,0
https://id.biodiversity.org.au/taxon/apni/51283281,0,0,1,0,0,0,0,0
https://id.biodiversity.org.au/taxon/apni/51285722,0,0,0,0,0,0,0,0
https://id.biodiversity.org.au/node/apni/2902854,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2887660,1,1,0,1,0,1,1,0
https://id.biodiversity.org.au/node/apni/2887273,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2916846,0,1,0,1,0,0,0,0
https://id.biodiversity.org.au/taxon/apni/51293927,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2896340,0,0,0,1,0,1,0,0
https://id.biodiversity.org.au/node/apni/2887210,1,0,0,0,0,0,0,0
https://id.biodiversity.org.au/taxon/apni/51267588,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2888089,0,0,1,1,0,1,0,0
https://id.biodiversity.org.au/node/apni/2888416,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2905304,0,0,0,0,0,0,0,0
https://id.biodiversity.org.au/node/apni/2920662,0,0,0,0,1,0,0,1
https://id.biodiversity.org.au/node/apni/2888239,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2896650,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2903062,1,1,1,1,0,0,1,0
https://id.biodiversity.org.au/node/apni/2916736,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2915552,0,0,0,0,1,0,0,0
https://id.biodiversity.org.au/node/apni/7775640,0,0,1,1,1,1,1,1
https://id.biodiversity.org.au/node/apni/7776299,1,0,1,1,1,1,1,0
NZOR-6-134908,0,0,0,0,0,1,0,0
