guid,occurrence_by_state,flower_color,flowering_season,plant_size
https://id.biodiversity.org.au/node/apni/2896054,"New South Wales, Queensland",Brown,"Autumn, Summer",Small
https://id.biodiversity.org.au/node/apni/2896172,New South Wales,"Green, Red",Spring,Shrub
https://id.biodiversity.org.au/node/apni/2896198,Queensland,"Cream, White",Summer,Tree
https://id.biodiversity.org.au/node/apni/2896217,"New South Wales, Tasmania, Victoria","Blue, Pink, Purple, White","Spring, Summer",Small
https://id.biodiversity.org.au/node/apni/2896277,Queensland,"Green, Pink, Purple, Red, White",Summer,Small
https://id.biodiversity.org.au/node/apni/2896289,"New South Wales, Northern Territory, South Australia, Western Australia","Pink, Red, White, Yellow",Spring,Large
https://id.biodiversity.org.au/node/apni/2896294,,"Blue, White","Spring, Summer",Perennial herb
https://id.biodiversity.org.au/node/apni/2896366,New South Wales,Yellow,"Spring, Summer",Small
https://id.biodiversity.org.au/node/apni/2896550,Western Australia,Pink,"Spring, Summer, Winter",Large
https://id.biodiversity.org.au/node/apni/2896620,"Queensland, Victoria","Blue, Yellow","Spring, Summer",Small
https://id.biodiversity.org.au/node/apni/2896748,New South Wales,"Green, Pink, Red","Summer, Winter",Small
https://id.biodiversity.org.au/node/apni/2896767,Western Australia,"Pink, Purple, Red, White, Yellow","Spring, Summer, Winter",Small
https://id.biodiversity.org.au/node/apni/2896858,"New South Wales, Queensland","Pink, White",Spring,Small
https://id.biodiversity.org.au/node/apni/2896938,"New South Wales, Queensland","Cream, Gold, Pink, White","Spring, Winter",Large
https://id.biodiversity.org.au/node/apni/2896999,"New South Wales, Queensland",Purple,"Spring, Winter",Shrub
https://id.biodiversity.org.au/node/apni/2897085,"Queensland, Victoria",Yellow,"Spring, Summer",Small
https://id.biodiversity.org.au/node/apni/2897086,"New South Wales, Queensland, Tasmania, Victoria","Green, Red, White, Yellow","Autumn, Winter",Small
https://id.biodiversity.org.au/node/apni/2897108,Queensland,"Green, Grey","Spring, Summer",Medium
https://id.biodiversity.org.au/node/apni/2897142,"Queensland, Victoria","Pink, Red",,Small
https://id.biodiversity.org.au/node/apni/2897335,South Australia,"Orange, Red","Spring, Summer, Winter",Small
https://id.biodiversity.org.au/node/apni/2897492,Western Australia,"Green, Red","Summer, Winter",Shrub
https://id.biodiversity.org.au/node/apni/2897511,,"Green, Grey, Pink",Summer,Large
https://id.biodiversity.org.au/node/apni/2897516,Western Australia,"Brown, Cream, Yellow","Autumn, Winter",Small
https://id.biodiversity.org.au/node/apni/2897523,New South Wales,"Brown, Green, White","Spring, Summer",Small
https://id.biodiversity.org.au/node/apni/2897542,"New South Wales, Queensland","Green, Red",,Large
https://id.biodiversity.org.au/node/apni/2897646,New South Wales,"Green, Red, Yellow","Autumn, Winter",Small
https://id.biodiversity.org.au/node/apni/2897664,Western Australia,"Black, Red","Spring, Summer, Winter",Medium
https://id.biodiversity.org.au/node/apni/2897888,Western Australia,"Pink, Purple, Red, White, Yellow","Spring, Winter",Small
https://id.biodiversity.org.au/node/apni/2897908,,"Red, White, Yellow","Autumn, Spring",Small
https://id.biodiversity.org.au/node/apni/2897914,"New South Wales, Queensland","Cream, Pink, White",Spring,Large
https://id.biodiversity.org.au/node/apni/2897960,Western Australia,"Orange, Red, Yellow","Autumn, Summer, Winter",Tree
https://id.biodiversity.org.au/node/apni/2897961,"Queensland, Victoria",White,"Spring, Summer",
https://id.biodiversity.org.au/node/apni/2898018,Western Australia,Yellow,"Spring, Summer, Winter",Prostrate
https://id.biodiversity.org.au/node/apni/2898065,"New South Wales, Queensland",Yellow,"Spring, Winter",Small
https://id.biodiversity.org.au/node/apni/2898175,"New South Wales, Queensland",White,"Autumn, Winter",Small
https://id.biodiversity.org.au/node/apni/2898281,Western Australia,"Green, Yellow",Spring,Small
https://id.biodiversity.org.au/node/apni/2898371,Western Australia,"Pink, Purple, Red, White, Yellow","Summer, Winter",Small
https://id.biodiversity.org.au/node/apni/2898405,Western Australia,"Mauve, Pink, Purple, White",,Small
https://id.biodiversity.org.au/node/apni/2898607,"Queensland, Victoria",White,Summer,Shrub
https://id.biodiversity.org.au/node/apni/2898738,"New South Wales, Queensland, Tasmania, Victoria","Cream, White",,Small
https://id.biodiversity.org.au/node/apni/2898812,"New South Wales, Queensland, Victoria",Pink,Spring,Large
https://id.biodiversity.org.au/node/apni/2899057,"New South Wales, South Australia, Tasmania, Victoria, Western Australia","Blue, Green, Pink, White",Summer,Small
https://id.biodiversity.org.au/node/apni/2899134,Western Australia,Pink,"Spring, Winter",Small
https://id.biodiversity.org.au/node/apni/2899172,,"Red, Yellow","Autumn, Summer",
https://id.biodiversity.org.au/node/apni/2899238,New South Wales,Brown,"Spring, Summer",Tree
https://id.biodiversity.org.au/node/apni/2899285,"New South Wales, Queensland",White,"Spring, Summer",Shrub
https://id.biodiversity.org.au/node/apni/2899330,"New South Wales, Northern Territory, Queensland, South Australia","Brown, Cream, Purple","Summer, Winter",Small
https://id.biodiversity.org.au/node/apni/2899338,Western Australia,"Blue, Pink, Red, White, Yellow","Summer, Winter",Small
https://id.biodiversity.org.au/node/apni/2899376,"New South Wales, Victoria","Cream, Pink, White",,Medium
https://id.biodiversity.org.au/node/apni/2899469,Western Australia,"Mauve, Pink, Purple, Scarlet",,Shrub
https://id.biodiversity.org.au/node/apni/2899492,"New South Wales, Queensland, South Australia, Victoria","Mauve, Purple","Spring, Summer",
https://id.biodiversity.org.au/node/apni/2899607,New South Wales,"Green, Grey, Red, White",,Small
https://id.biodiversity.org.au/node/apni/2900010,"Queensland, Victoria",Pink,"Spring, Winter",Small
https://id.biodiversity.org.au/node/apni/2900020,"New South Wales, Victoria","Orange, Red, Yellow","Spring, Winter",Small
https://id.biodiversity.org.au/node/apni/2900042,Queensland,"Green, Pink, White","Spring, Summer",Small
https://id.biodiversity.org.au/node/apni/2900147,Western Australia,"Pink, White",Spring,Small
https://id.biodiversity.org.au/node/apni/2900204,western Australia,"Orange, Red, Yellow","Autumn, Spring, Summer",Small
https://id.biodiversity.org.au/node/apni/2900302,Queensland,"Grey, Yellow",,Medium
https://id.biodiversity.org.au/node/apni/2900306,Tasmania,"Green, Pink, White",,Tree
https://id.biodiversity.org.au/node/apni/2900364,"New South Wales, Queensland","Cream, White",,Large
https://id.biodiversity.org.au/node/apni/2900369,"New South Wales, Queensland, South Australia, Tasmania, Victoria, Western Australia","Mauve, Pink, White","Spring, Summer",Small
https://id.biodiversity.org.au/node/apni/2900393,Queensland,"Black, Mauve, Pink, White","Spring, Summer, Winter",Small
https://id.biodiversity.org.au/node/apni/2900394,Western Australia,"Cream, Pink, Purple, Red, White, Yellow","Spring, Summer",Small
https://id.biodiversity.org.au/node/apni/2900399,New South Wales,Pink,"Spring, Winter",Small
https://id.biodiversity.org.au/node/apni/2900555,New South Wales,"Green, Mauve, Purple","Spring, Winter",Medium
https://id.biodiversity.org.au/node/apni/2900578,Queensland,"Green, Orange, Red, White",,Large
https://id.biodiversity.org.au/node/apni/2900668,Western Australia,"Mauve, Pink","Spring, Winter",Small
https://id.biodiversity.org.au/node/apni/2900847,"South Australia, Western Australia","Cream, Red, Yellow","Summer, Winter",Small
https://id.biodiversity.org.au/node/apni/2900893,New South Wales,"Pink, White",Spring,Small
https://id.biodiversity.org.au/node/apni/2900921,western Australia,"Black, Green, Grey, Red","Autumn, Spring, Summer",Small
https://id.biodiversity.org.au/node/apni/2900996,Western Australia,Pink,"Summer, Winter",Small
https://id.biodiversity.org.au/node/apni/2901084,"New South Wales, Queensland",Brown,,Small
https://id.biodiversity.org.au/node/apni/2901102,"New South Wales, Queensland","Cream, Yellow",,Shrub
https://id.biodiversity.org.au/node/apni/2901123,Western Australia,Pink,"Spring, Winter",Small
https://id.biodiversity.org.au/node/apni/2901215,"New South Wales, Queensland, Tasmania, Victoria","Cream, Green, Red","Autumn, Spring",Small
https://id.biodiversity.org.au/node/apni/2901335,Queensland,"Cream, Pink, Purple, White","Spring, Summer",Tree
https://id.biodiversity.org.au/node/apni/2901403,"New South Wales, Queensland","Green, Red, White",,Large
https://id.biodiversity.org.au/node/apni/2901433,"Northern Territory, Queensland","Black, Brown, Green, Pink, Red, Yellow","Spring, Summer",Small
https://id.biodiversity.org.au/node/apni/2901457,Western Australia,"Pink, Yellow","Spring, Summer",Small
https://id.biodiversity.org.au/node/apni/2901534,"New South Wales, Queensland","Pink, Purple, White",Spring,Small
https://id.biodiversity.org.au/node/apni/2901546,Western Australia,"Orange, Yellow","Spring, Summer, Winter",Small
https://id.biodiversity.org.au/node/apni/2901671,Western Australia,"Green, Red, Yellow","Spring, Winter",Shrub
https://id.biodiversity.org.au/node/apni/2901892,"New South Wales, Victoria","Green, White","Spring, Summer",Small
https://id.biodiversity.org.au/node/apni/2901986,"Queensland, South Australia, Tasmania, Western Australia",White,"Spring, Summer",
https://id.biodiversity.org.au/node/apni/2902046,,"Green, Pink, Red","Summer, Winter",Large
https://id.biodiversity.org.au/node/apni/2902065,Western Australia,"Orange, Red","Spring, Summer",Small
https://id.biodiversity.org.au/node/apni/2902202,Western Australia,"Green, Grey, Mauve, Pink","Spring, Summer",Small
https://id.biodiversity.org.au/node/apni/2902214,,,,Tree
https://id.biodiversity.org.au/node/apni/2902224,Western Australia,Red,"Spring, Summer, Winter",Small
https://id.biodiversity.org.au/node/apni/2902337,"Queensland, Western Australia","Green, White",,Large
https://id.biodiversity.org.au/node/apni/2902380,"Queensland, Victoria","Green, Yellow","Summer, Winter",Tree
https://id.biodiversity.org.au/node/apni/2902463,Western Australia,"Cream, Orange, Red, White, Yellow",Summer,Medium
https://id.biodiversity.org.au/node/apni/2902723,Western Australia,"Green, Grey, Scarlet","Spring, Summer",Small
https://id.biodiversity.org.au/node/apni/2902748,"New South Wales, Queensland","Cream, Yellow",,Large
https://id.biodiversity.org.au/node/apni/2902840,"New South Wales, Victoria","Cream, Green, Pink, Red, Yellow","Spring, Winter",Small
https://id.biodiversity.org.au/node/apni/2902862,"Northern Territory, Western Australia","Green, Grey, White",Summer,Small
https://id.biodiversity.org.au/node/apni/2902870,"New South Wales, Queensland",Pink,Spring,Small
https://id.biodiversity.org.au/node/apni/2902891,Western Australia,Green,"Spring, Summer",Small
https://id.biodiversity.org.au/node/apni/2903133,New South Wales,"Green, Yellow","Spring, Summer",Shrub
https://id.biodiversity.org.au/node/apni/2903285,Western Australia,"Orange, Red","Spring, Summer",Small
https://id.biodiversity.org.au/node/apni/2903348,Western Australia,"Mauve, Pink, Purple, Red, White, Yellow","Spring, Summer",Small
https://id.biodiversity.org.au/node/apni/2903360,Western Australia,"Brown, Orange, Yellow","Autumn, Summer",Shrub
https://id.biodiversity.org.au/node/apni/2903390,Western Australia,"Green, Pink, Red, Yellow","Autumn, Summer, Winter",Shrub
https://id.biodiversity.org.au/node/apni/2903581,"South Australia, Victoria","Mauve, Purple",Spring,Shrub
https://id.biodiversity.org.au/node/apni/2903585,"New South Wales, South Australia, Tasmania, Victoria","Pink, Purple","Spring, Summer",
https://id.biodiversity.org.au/node/apni/2903604,,"Cream, Red, Yellow","Spring, Summer, Winter",Small
https://id.biodiversity.org.au/node/apni/2903657,Queensland,"Pink, Red, White","Spring, Summer",Shrub
https://id.biodiversity.org.au/node/apni/2903690,,"Green, White",Spring,Shrub
https://id.biodiversity.org.au/node/apni/2903799,,"Lilac, White","Autumn, Summer",Perennial herb
https://id.biodiversity.org.au/node/apni/2903818,"New South Wales, Northern Territory, Queensland, South Australia, Western Australia","Brown, Green, Grey, Purple, Yellow","Spring, Winter",Large
https://id.biodiversity.org.au/node/apni/2904045,"Queensland, Tasmania",White,Spring,Small
https://id.biodiversity.org.au/node/apni/2904108,,"Green, Grey, Orange, Pink, White",,Small
https://id.biodiversity.org.au/node/apni/2904115,"New South Wales, Queensland, Victoria",Yellow,"Spring, Summer",Small
https://id.biodiversity.org.au/node/apni/2904279,Western Australia,Yellow,"Summer, Winter",Small
https://id.biodiversity.org.au/node/apni/2904317,Western Australia,"Crimson, Green, Orange, Pink, Red, White",Summer,Tree
https://id.biodiversity.org.au/node/apni/2904334,"New South Wales, Northern Territory, Queensland, Western Australia","Green, Orange, White","Autumn, Summer",Small
https://id.biodiversity.org.au/node/apni/2904345,,"Mauve, Pink, Purple, Red, White, Yellow","Autumn, Spring",Small
https://id.biodiversity.org.au/node/apni/2904534,,"Pink, Purple, Red, White, Yellow",Spring,Small
https://id.biodiversity.org.au/node/apni/2904581,Victoria,"Mauve, Pink","Spring, Summer",Prostrate
https://id.biodiversity.org.au/node/apni/2904619,New South Wales,Green,,Small
https://id.biodiversity.org.au/node/apni/2904695,"New South Wales, Queensland","Blue, Grey, Purple, White, Yellow",Spring,Small
https://id.biodiversity.org.au/node/apni/2904737,Western Australia,"Blue, Orange, Pink, Red, Yellow",,Small
https://id.biodiversity.org.au/node/apni/2904766,Western Australia,"Lilac, Mauve, Pink, Red, White","Spring, Summer",Small
https://id.biodiversity.org.au/node/apni/2904789,"New South Wales, Queensland","Black, Green, Red","Spring, Winter",
https://id.biodiversity.org.au/node/apni/2904829,Western Australia,"Pink, White","Summer, Winter",Small
https://id.biodiversity.org.au/node/apni/2904886,Western Australia,"Green, Red",Spring,Large
https://id.biodiversity.org.au/node/apni/2904981,"New South Wales, Western Australia","Black, Green, Pink, Purple, White","Spring, Summer",Shrub
https://id.biodiversity.org.au/node/apni/2905099,South Australia,"Green, Red","Spring, Summer",Shrub
https://id.biodiversity.org.au/node/apni/2905150,New South Wales,"Pink, White, Yellow",Summer,Small
https://id.biodiversity.org.au/node/apni/2905310,"New South Wales, Queensland","Brown, Pink, Purple, Red",Spring,Large
https://id.biodiversity.org.au/node/apni/2905345,Western Australia,Orange,"Autumn, Summer, Winter",Shrub
https://id.biodiversity.org.au/node/apni/2905370,"New South Wales, Queensland, Tasmania, Victoria","Blue, Mauve, Purple, Yellow","Autumn, Spring, Summer",Small
https://id.biodiversity.org.au/node/apni/2905566,Western Australia,Green,"Autumn, Spring",Small
https://id.biodiversity.org.au/node/apni/2905591,Western Australia,"Green, Mauve, Pink, Purple",Summer,Shrub
https://id.biodiversity.org.au/node/apni/2905624,New South Wales,"Mauve, Purple","Spring, Winter",Shrub
https://id.biodiversity.org.au/node/apni/2905648,Western Australia,Pink,"Spring, Summer",Small
https://id.biodiversity.org.au/node/apni/2905662,"New South Wales, Queensland","Cream, Crimson",Spring,Large
https://id.biodiversity.org.au/node/apni/2905696,Western Australia,"Brown, Green, White, Yellow","Summer, Winter",Shrub
https://id.biodiversity.org.au/node/apni/2905735,Western Australia,"Cream, Pink, Red","Summer, Winter",Large
https://id.biodiversity.org.au/node/apni/2905762,New South Wales,Cream,Spring,Small
